source_ensemblID,source_gene_symbol,source_celltype,source_means,source_quality,source_Gene_Symbol_human,target_ensemblID,target_gene_symbol,target_celltype,target_means,target_quality,target_Gene_Symbol_human,source_log2FC,target_log2FC,source_nodes,target_nodes,pair,interaction_type,interaction_redundancy,source_influenced_genes,target_influenced_genes,source_influenced_celltypes,target_influenced_celltypes,source_influencer_celltypes,target_influencer_celltypes
ENSDARG00000061436,col6a2,CM+,8.253245897228757,0.75,COL6A2,ENSDARG00000028222,itgb8,EC,6.12063746475391,1.0,ITGB8,6.567757329,0.0,col6a2_CM+,itgb8_EC,col6a2_itgb8,CM+_EC,CM+_EC,"itgb8, itga2.2, itgav, itga1, sdc4, itga11b, itga11a, itga3b, itga9, itga2.1, cd44b, itga2.3","col1a2, col6a2, lamb2, col1a1b, lama5, fn1a, col1a1a","EC, CM-, FB, CM+","EC, FB, CM+",CM+,EC
ENSDARG00000061436,col6a2,CM+,8.253245897228757,0.75,COL6A2,ENSDARG00000089892,cd44b,FB,4.86640559203472,0.75,CD44,6.567757329,0.0,col6a2_CM+,cd44b_FB,col6a2_cd44b,CM+_FB,"CM+_CM-, CM+_FB","itgb8, itga2.2, itgav, itga1, sdc4, itga11b, itga11a, itga3b, itga9, itga2.1, cd44b, itga2.3","col1a2, col6a2, lamb2, col1a1b, lama5, vcana, timp2b, vim, hbegfb, fn1a, hgfa, hbegfa, mmp9, pkma, col1a1a","EC, CM-, FB, CM+","EC, FB, CM+",CM+,"CM-, FB"
ENSDARG00000061436,col6a2,CM+,8.253245897228757,0.75,COL6A2,ENSDARG00000089892,cd44b,CM-,8.10899264554479,1.0,CD44,6.567757329,0.0,col6a2_CM+,cd44b_CM-,col6a2_cd44b,CM+_CM-,"CM+_CM-, CM+_FB","itgb8, itga2.2, itgav, itga1, sdc4, itga11b, itga11a, itga3b, itga9, itga2.1, cd44b, itga2.3","col1a2, col6a2, lamb2, col1a1b, lama5, vcana, timp2b, vim, hbegfb, fn1a, hgfa, hbegfa, mmp9, pkma, col1a1a","EC, CM-, FB, CM+","EC, FB, CM+",CM+,"CM-, FB"
ENSDARG00000058543,lama5,EC,11.664429451718023,1.0,LAMA5,ENSDARG00000089892,cd44b,FB,4.86640559203472,0.75,CD44,1.39640569979126,0.0,lama5_EC,cd44b_FB,lama5_cd44b,EC_FB,"EC_CM-, EC_FB","itga2.3, itgb4, itgb8, itga6b, itga2.2, itgav, cd151l, cd151, sv2a, itga3b, itga9, itga6a, cd44b, bcam, dag1, itga2.1","col1a2, col6a2, lamb2, col1a1b, lama5, vcana, timp2b, vim, hbegfb, fn1a, hgfa, hbegfa, mmp9, pkma, col1a1a","EC, CM-, FB, CM+","EC, FB, CM+","EC, FB, CM+","CM-, FB"
ENSDARG00000058543,lama5,EC,11.664429451718023,1.0,LAMA5,ENSDARG00000089892,cd44b,CM-,8.10899264554479,1.0,CD44,1.39640569979126,0.0,lama5_EC,cd44b_CM-,lama5_cd44b,EC_CM-,"EC_CM-, EC_FB","itga2.3, itgb4, itgb8, itga6b, itga2.2, itgav, cd151l, cd151, sv2a, itga3b, itga9, itga6a, cd44b, bcam, dag1, itga2.1","col1a2, col6a2, lamb2, col1a1b, lama5, vcana, timp2b, vim, hbegfb, fn1a, hgfa, hbegfa, mmp9, pkma, col1a1a","EC, CM-, FB, CM+","EC, FB, CM+","EC, FB, CM+","CM-, FB"
ENSDARG00000002084,lamb2,EC,8.578239062436815,1.0,LAMB2,ENSDARG00000089892,cd44b,FB,4.86640559203472,0.75,CD44,4.36891726195774,0.0,lamb2_EC,cd44b_FB,lamb2_cd44b,EC_FB,"EC_CM-, EC_FB","rpsa, itga2.3, itgb4, itgb8, itga6b, itga2.2, itgav, sv2a, itga3b, itga9, itga6a, cd44b, dag1, itga2.1","col1a2, col6a2, lamb2, col1a1b, lama5, vcana, timp2b, vim, hbegfb, fn1a, hgfa, hbegfa, mmp9, pkma, col1a1a","EC, CM-, FB, CM+","EC, FB, CM+","EC, FB, CM+","CM-, FB"
ENSDARG00000002084,lamb2,EC,8.578239062436815,1.0,LAMB2,ENSDARG00000089892,cd44b,CM-,8.10899264554479,1.0,CD44,4.36891726195774,0.0,lamb2_EC,cd44b_CM-,lamb2_cd44b,EC_CM-,"EC_CM-, EC_FB","rpsa, itga2.3, itgb4, itgb8, itga6b, itga2.2, itgav, sv2a, itga3b, itga9, itga6a, cd44b, dag1, itga2.1","col1a2, col6a2, lamb2, col1a1b, lama5, vcana, timp2b, vim, hbegfb, fn1a, hgfa, hbegfa, mmp9, pkma, col1a1a","EC, CM-, FB, CM+","EC, FB, CM+","EC, FB, CM+","CM-, FB"
ENSDARG00000012405,col1a1a,EC,13.869492054510076,1.0,COL1A1,ENSDARG00000059906,sdc4,FB,12.3915327561331,1.0,SDC4,2.00050210211253,0.0,col1a1a_EC,sdc4_FB,col1a1a_sdc4,EC_FB,"EC_EC, EC_CM-, EC_FB, EC_CM+","itga2.3, itgb8, flt4, itgav, itga2.2, itga3b, ddr1, itga1, sdc4, itga11b, itga11a, itga9, ddr2a, cd248a, cd44b, itga2.1","col1a2, col6a2, comp, col1a1b, cxcl12a, thbs2a, thbs1b, tgm2b, fn1a, col1a1a","EC, CM-, FB, CM+","EC, FB, CM+","EC, CM-, FB","EC, CM-, FB, CM+"
ENSDARG00000012405,col1a1a,EC,13.869492054510076,1.0,COL1A1,ENSDARG00000059906,sdc4,EC,12.2923141427336,1.0,SDC4,2.00050210211253,0.0,col1a1a_EC,sdc4_EC,col1a1a_sdc4,EC_EC,"EC_EC, EC_CM-, EC_FB, EC_CM+","itga2.3, itgb8, flt4, itgav, itga2.2, itga3b, ddr1, itga1, sdc4, itga11b, itga11a, itga9, ddr2a, cd248a, cd44b, itga2.1","col1a2, col6a2, comp, col1a1b, cxcl12a, thbs2a, thbs1b, tgm2b, fn1a, col1a1a","EC, CM-, FB, CM+","EC, FB, CM+","EC, CM-, FB","EC, CM-, FB, CM+"
ENSDARG00000012405,col1a1a,EC,13.869492054510076,1.0,COL1A1,ENSDARG00000059906,sdc4,CM+,12.41588887812548,1.0,SDC4,2.00050210211253,0.0,col1a1a_EC,sdc4_CM+,col1a1a_sdc4,EC_CM+,"EC_EC, EC_CM-, EC_FB, EC_CM+","itga2.3, itgb8, flt4, itgav, itga2.2, itga3b, ddr1, itga1, sdc4, itga11b, itga11a, itga9, ddr2a, cd248a, cd44b, itga2.1","col1a2, col6a2, comp, col1a1b, cxcl12a, thbs2a, thbs1b, tgm2b, fn1a, col1a1a","EC, CM-, FB, CM+","EC, FB, CM+","EC, CM-, FB","EC, CM-, FB, CM+"
